Element,A,A0,k1,k2,gamma,R,Z,N,e⁻
Sulfur,32,1912.9780757240064,7.580136101337087,3.764996340605207,0.5901586206896551,3.261,16,16,16
Tantalum,181,8424.508667580536,7.957931034482759,3.699253201970443,0.6416206896551724,4.681,73,108,73
Technetium,98,6082.317524167323,8.351609852216749,3.7068679802955664,0.6949428571428571,4.327,43,55,43
Tellurium,130,6845.678693342997,8.358706403940886,3.734568472906404,0.6876443349753695,4.445,52,78,52
Terbium,159,12050.557678643769,8.027999999999999,3.703284936479129,0.665,4.659,65,94,65
Thallium,205,9797.649449195575,8.027614778325121,3.6951152709359603,0.6728798029556651,4.634,81,124,81
Thorium,232,11312.48850245229,8.06544827586207,3.7184210526315793,0.7087894736842105,4.603,90,142,90
Thulium,169,9530.461001479576,7.968,3.6890526315789476,0.652,4.683,69,100,69
Tin,120,6554.6427208375435,8.39330344827586,3.720832512315271,0.6865527093596059,4.420,50,70,50
Titanium,48,1601.1336420368516,7.743828993666432,3.7416778325123157,0.6830413793103448,3.590,22,26,22
Tungsten,184,8601.522456622943,7.975143842364532,3.699310344827586,0.6473674876847291,4.670,74,110,74
Uranium,238,11669.964739930962,8.064185117967332,3.721157894736842,0.7253157894736841,4.598,92,146,92
Vanadium,51,10204.54773579435,8.847111189303307,3.5951942294159047,0.6122827586206897,3.570,23,28,23
Xenon,132,6648.362066798625,8.324080788177339,3.775833497536946,0.6933330049261084,4.469,54,78,54
Ytterbium,174,10039.250216835066,7.968,3.688,0.648,4.685,70,104,70
Yttrium,89,5541.271922469828,8.766554398311047,3.7922160450387046,0.5842,4.227,39,50,39
Zinc,64,6187.420889564485,8.562776213933851,3.950792821956369,0.6811103448275861,3.928,30,34,30
Zirconium,90,6441.417051368446,8.296389318122893,3.7613321234119783,0.6843888514389421,4.269,40,50,40
